source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
HIST	A107	A107	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16,§39,§64	Conformance semantic states reached through actual props/data/actions; force only runtime states	accepted_amended	a1759b2a	conformance	audit_and_complete	No tests guarded to hide production failures; real edit/selection	capability sweep	TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:108	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Conformance semantic states reached through actual props/data/actions; force only runtime states Source disposition: accepted_amended. Exact source: docs/refactoring-plan/historical-obligations.tsv:108.
HIST	A43	A43	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise	accepted	a1759b2a	components;conformance;StyledQuery	proof_gap	Record attribution and no missing conditional paints	parts sweep;visible sentinels	TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:44	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:44.
HIST	A44	A44	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33,§50	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins	accepted	a1759b2a;consolidation rejection	rowui;ColumnsUi;collections	remaining_work	Repair actual part forwarding and independent style isolation	item_row_columns;explicit_columns_styles_win	TASK-015;TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:45	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:45.
HIST	EARLY-049	EARLY-049	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	e8d053c9 §§16–17;95ab6529 §21;587c53bd §25	Every public component has real Conformance case and applicable semantic matrix, exact named test inventory, all runnable external examples and author proof.	accepted	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Macro name=>Case pins name; no blanket action trace on unconstrained Action; extra tests allowed but missing named tests fail.	Inventory equality with ownership exclusions; capability implication checks; compile actual examples; component state not click-only fixture.	TASK-031;TASK-066;TASK-068;TASK-071;TASK-073	docs/refactoring-plan/history-early-obligations.tsv:50	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Every public component has real Conformance case and applicable semantic matrix, exact named test inventory, all runnable external examples and author proof. Source disposition: accepted. Exact source: docs/refactoring-plan/history-early-obligations.tsv:50.
HIST	EARLY-AMEND-001	EARLY-AMEND-001	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	9486b654 §26.2	Sizing resolution records no painted parts; painted-part evidence must come from actual instrumented paint paths.	accepted correction	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Strikes false Ui::style/style_patched automatic styled-part recording claim; later parts instrumentation must prove its actual behavior.	Downstream author paint fixture resolves and paints declared parts; sizing-only resolution produces no styled-part evidence.	TASK-012;TASK-031;TASK-073	docs/refactoring-plan/history-early-amendments-obligations.tsv:2	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Sizing resolution records no painted parts; painted-part evidence must come from actual instrumented paint paths. Source disposition: accepted correction. Exact source: docs/refactoring-plan/history-early-amendments-obligations.tsv:2.
HIST	EARLY-AMEND-044	EARLY-AMEND-044	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	15371443 §29.9	TextArea covered FIELD part override can be proved by its actual recorded resolution when composed paint leaves digest unchanged.	accepted implementation evidence	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: ebfa8b8 closes earlier false negative; patch_part hook remains future optional ordering-hardening, not mandatory unfinished gate.	Check selected part/owner resolution and theme immutability; no unrelated sibling comparison; include current text_area override case.	TASK-016;TASK-031;TASK-073	docs/refactoring-plan/history-early-amendments-obligations.tsv:45	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	TextArea covered FIELD part override can be proved by its actual recorded resolution when composed paint leaves digest unchanged. Source disposition: accepted implementation evidence. Exact source: docs/refactoring-plan/history-early-amendments-obligations.tsv:45.
HIST	HAR-038	HAR-038	docs/reviews/slice2-architecture-review.md:M13-M18/M26-M27;605-622	4e15e97e	Public testing introspection; truthful auto-draw suppression; real keyed fixtures; capability-aware conformance	J accepted; later fixtures and named suites govern	unread	testing crate; Harness; Scene; fixtures; conformance	unverified	Replace placeholder or private-field tests with real external behavior evidence	Three Outcome mapping; diagnostics; real reorder actions; typed-character exception; actual fixture list; separate release perf and trybuild inventory	TASK-031;TASK-073	docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:39	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Public testing introspection; truthful auto-draw suppression; real keyed fixtures; capability-aware conformance Source disposition: J accepted; later fixtures and named suites govern. Exact source: docs/refactoring-plan/history-inputs-api-app-research-obligations.tsv:39.
HIST	HI-036	HI-036	docs/reviews/slice3-foundations-review.md BL3/F3/F7	2e86bf61	Painting tracks actual written cells/roles; harness reports actual component resolution	accepted correction; later provenance work must join	7899678 reported	Ui raw; RowUi; layer buffer; Harness	not independently tested	No full-clip mark from internal alignment; no hardcoded BUTTON proof; verify actual painted effect	sentinel unpainted layer cells; dim role provenance; distinct component-family resolutions	TASK-031;TASK-073	docs/refactoring-plan/history-inputs-obligations.tsv:37	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Painting tracks actual written cells/roles; harness reports actual component resolution Source disposition: accepted correction; later provenance work must join. Exact source: docs/refactoring-plan/history-inputs-obligations.tsv:37.
HIST	HL-64-CAPS	HL-64-CAPS	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	a1759b2a §64	COLLECTION means key/reorder; independent SELECTS controls mono selection; Steps omits SELECTS	accepted	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Apply accepted contract; reject/supersede: Collection implies selection; fabricated SELECTED/EDITING	Caps truth tests; Grid Space/F2 real semantic setup then exact forced runtime bits	TASK-031;TASK-073	docs/refactoring-plan/history-late-obligations.tsv:22	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	COLLECTION means key/reorder; independent SELECTS controls mono selection; Steps omits SELECTS Source disposition: accepted. Exact source: docs/refactoring-plan/history-late-obligations.tsv:22.
HIST	HL-72-MATRIX	HL-72-MATRIX	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	a1759b2a §72	Fixture selects actual activation/control/part; exact target per composite; unrelated child/scroll unforced	accepted	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Apply accepted contract; reject/supersede: Root forced bits impersonating children	Form one field, Dialog one action, collection stable row; actual semantic setup	TASK-031;TASK-073	docs/refactoring-plan/history-late-obligations.tsv:45	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Fixture selects actual activation/control/part; exact target per composite; unrelated child/scroll unforced Source disposition: accepted. Exact source: docs/refactoring-plan/history-late-obligations.tsv:45.
