source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
HIST	A01	A01	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3 / A,J	Separate update and draw; props borrow configuration and state stays caller-owned	accepted	18afddd2;7899678d	crates/tui/src/components;apps	retain_and_verify	Compile borrowed phase calls and external state ownership; no model data stored in props	architecture;external examples	TASK-010;TASK-065	docs/refactoring-plan/historical-obligations.tsv:2	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Separate update and draw; props borrow configuration and state stays caller-owned Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:2.
HIST	A02	A02	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3,§5 / J	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection	accepted	18afddd2;11b0d687	runtime;components;apps	retain_and_strengthen_proof	Repeated production draw preserves semantic state and effects including callbacks/interior mutability	draw-purity;Holla independent draw review	TASK-031;TASK-065	docs/refactoring-plan/historical-obligations.tsv:3	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:3.
HIST	A108	A108	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16,§37,§48	Architecture checks parse relevant whole source and fail on missing subject or malformed input	accepted	7433a2c0;da92e48	xtask	gate_strength_gap	Mask literals correctly; adversarial no-op/copy/unreachable cases	scanner mutation probes	TASK-065;TASK-068;TASK-072	docs/refactoring-plan/historical-obligations.tsv:109	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Architecture checks parse relevant whole source and fail on missing subject or malformed input Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:109.
HIST	A110	A110	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16,§47	Every Showcase page owns real update/draw roots; unreachable API name calls do not prove migration	accepted	37f9031e;1378c31b	Showcase;xtask	gate_strength_gap	Reject painted-over Grid and scanner-only facade invocation	anti-copy gate;page production journeys	TASK-032;TASK-065;TASK-072	docs/refactoring-plan/historical-obligations.tsv:111	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Every Showcase page owns real update/draw roots; unreachable API name calls do not prove migration Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:111.
HIST	A47	A47	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §73	Configured constant-ID props constructed by one non-method helper shared across phases	accepted_intra_module_scoped	54b15ce;4cfefea;69fb70d;2ca0a130	components;apps;examples;xtask	gate_strength_gap	Retain intra-module configured constant-ID private non-method helper proof, explicit dynamic/unconfigured/test exemptions and fail-closed parsing; unresolved cross-file lookup is a documented limitation with production phase-consistency proof, not a claimed whole-program gate	props_are_built_once mutation probes	TASK-065;TASK-072	docs/refactoring-plan/historical-obligations.tsv:48	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Retain intra-module configured constant-ID private non-method helper proof, explicit dynamic/unconfigured/test exemptions and fail-closed parsing; unresolved cross-file lookup is a documented limitation with production phase-consistency proof, not a claimed whole-program gate Source disposition: accepted_intra_module_scoped. Exact source: docs/refactoring-plan/historical-obligations.tsv:48.
HIST	A52	A52	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §14,§18	Every original 31 widget module and 23 reusable app control has intentional migration disposition	accepted	77847196 and app migrations	library;apps	inventory_and_complete	No lost capability hidden behind rename/deletion	component migration matrix	TASK-065;TASK-066	docs/refactoring-plan/historical-obligations.tsv:53	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Every original 31 widget module and 23 reusable app control has intentional migration disposition Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:53.
HIST	A53	A53	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §19	No permanent legacy facade or duplicate DataTable/ScrollPanel; preserve their capabilities through Grid/Viewport	accepted_rejected_alternatives	77847196	public API;grid;viewport	retain_and_verify	Remove duplicate mechanisms only after oracle coverage	API inventory;behavior proofs	TASK-021;TASK-022;TASK-065	docs/refactoring-plan/historical-obligations.tsv:54	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	No permanent legacy facade or duplicate DataTable/ScrollPanel; preserve their capabilities through Grid/Viewport Source disposition: accepted_rejected_alternatives. Exact source: docs/refactoring-plan/historical-obligations.tsv:54.
HIST	A88	A88	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md Appendix B,§22	Public junie-tui facade; apps unpublished separate lib/bin packages; no reverse domain dependencies	accepted_amended	77847196;4e84b744	Cargo;lib;apps	retain_and_verify	External imports and isolated dependency builds	workspace metadata;boundary	TASK-065;TASK-068	docs/refactoring-plan/historical-obligations.tsv:89	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Public junie-tui facade; apps unpublished separate lib/bin packages; no reverse domain dependencies Source disposition: accepted_amended. Exact source: docs/refactoring-plan/historical-obligations.tsv:89.
HIST	A93	A93	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §22	No umbrella Ratatui/widgets/macros or direct backend dependency misuse; feature/version graph checked	accepted_amended	4e84b744	Cargo;xtask	retain_and_verify	All dependency paths, duplicate Unicode versions, no vacuous pruning	metadata graph;boundary	TASK-065;TASK-068;TASK-072	docs/refactoring-plan/historical-obligations.tsv:94	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	No umbrella Ratatui/widgets/macros or direct backend dependency misuse; feature/version graph checked Source disposition: accepted_amended. Exact source: docs/refactoring-plan/historical-obligations.tsv:94.
HIST	EARLY-001	EARLY-001	COMPONENT_ARCHITECTURE.md;REFACTORING_STATE.md where cited	2e453023 §§3–5;95ab6529 §21	Caller owns durable component state; update mutates through explicit state/model without Buffer; draw uses shared self/state/model and cannot commit or emit semantic actions.	accepted	not independently established by historical reading; see architecture-matrix.tsv and app scenario matrices	source-scoped component/owner; see source ledger	not independently verified in this source ledger; join architecture-matrix.tsv and {showcase,tablepro,jackin,holla}-scenarios.tsv; source disposition is not completion	Preserve accepted clause with amendment: Derived runtime cache mutation is not semantic state mutation.	Compile-fail draw mutation plus state-before/after draw comparisons for every component and composition.	TASK-010;TASK-065	docs/refactoring-plan/history-early-obligations.tsv:2	retained supplemental source clause; exact equivalent/refinement/supersession groups in history-ledger-reconciliation.md	R-002	AC-002	CHK-006	primary	Caller owns durable component state; update mutates through explicit state/model without Buffer; draw uses shared self/state/model and cannot commit or emit semantic actions. Source disposition: accepted. Exact source: docs/refactoring-plan/history-early-obligations.tsv:2.
