source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
APP-FLOW	TFLOW-C62-035	TFLOW-C62-035	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Update/insert/delete ordering, escaping, destructive title and Cancel; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-035	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:23	derived bounded contribution; parent TP-035 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-C62-036	TFLOW-C62-036	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Dirty refresh gating, discard restoration, focus and footer; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-036	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:24	derived bounded contribution; parent TP-036 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-C62-063	TFLOW-C62-063	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Read-only save message and preserved draft/pending state; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-063	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:33	derived bounded contribution; parent TP-063 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-C62-065	TFLOW-C62-065	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Pending rows + unsaved queries count; per-tab cursor/draft preserved; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-065	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:34	derived bounded contribution; parent TP-065 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-C62-073	TFLOW-C62-073	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Topmost escape/paste/mouse/wheel capture, clipping and focus restoration. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-073	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:35	derived bounded contribution; parent TP-073 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-C62-077	TFLOW-C62-077	docs/refactoring-plan/app-flow-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Unbound keys ignored; editing literals not global actions; no background paste; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	accepted_source_derived	not implemented by planning	TP-077	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-contributions.tsv:37	derived bounded contribution; parent TP-077 remains intact	R-002	AC-002	CHK-006	primary	required nonempty source-derived semantic contribution
APP-FLOW	TFLOW-F62-035	TFLOW-F62-035	docs/refactoring-plan/app-flow-frame-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Exactly every occurrence of cp(mixed_preview), cp(delete_review), cp(pending_preserved), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	accepted_source_derived	not implemented by planning	TP-035	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-frame-contributions.tsv:23	derived bounded contribution; parent TP-035 remains intact	R-001	AC-001	CHK-004	primary	required nonempty source-derived whole-frame contribution
APP-FLOW	TFLOW-F62-036	TFLOW-F62-036	docs/refactoring-plan/app-flow-frame-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Exactly every occurrence of cp(refresh_gate), cp(kept), cp(discard_gate), cp(discarded), cp(refreshed), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	accepted_source_derived	not implemented by planning	TP-036	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-frame-contributions.tsv:24	derived bounded contribution; parent TP-036 remains intact	R-001	AC-001	CHK-004	primary	required nonempty source-derived whole-frame contribution
APP-FLOW	TFLOW-F62-063	TFLOW-F62-063	docs/refactoring-plan/app-flow-frame-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Exactly every occurrence of cp(refused), cp(preview_still_available), cp(pending_kept), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	accepted_source_derived	not implemented by planning	TP-063	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-frame-contributions.tsv:33	derived bounded contribution; parent TP-063 remains intact	R-001	AC-001	CHK-004	primary	required nonempty source-derived whole-frame contribution
APP-FLOW	TFLOW-F62-065	TFLOW-F62-065	docs/refactoring-plan/app-flow-frame-contributions.tsv	02f5294bfdbf38004cc49130d0aff1d01f31434c	Exactly every occurrence of cp(mixed_dirty), cp(original_grid), cp(original_query), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	accepted_source_derived	not implemented by planning	TP-065	requires frozen baseline and candidate proof	Exact contribution and complete parent remain separate required identities	exact direct frame or qualified semantic assertion	TASK-062;TASK-005;TASK-064;TASK-069	docs/refactoring-plan/app-flow-frame-contributions.tsv:34	derived bounded contribution; parent TP-065 remains intact	R-001	AC-001	CHK-004	primary	required nonempty source-derived whole-frame contribution
