source_namespace	source_id	requirement_id	acceptance_id	check_id
APP	SC-BASE-buttons	R-001	AC-001	CHK-004
APP	SC-BASE-inputs	R-001	AC-001	CHK-004
APP	SC-BASE-textareas	R-001	AC-001	CHK-004
APP	SC-BASE-forms	R-001	AC-001	CHK-004
APP	SC-BUTTON-ACTIONS	R-001	AC-001	CHK-004
APP	SC-BUTTON-DISABLED	R-001	AC-001	CHK-004
APP	SC-BUTTON-TIME	R-001	AC-001	CHK-004
APP	SC-INPUT-EDIT	R-001	AC-001	CHK-004
APP	SC-INPUT-EMAIL-MASK	R-001	AC-001	CHK-004
APP	SC-TEXTAREA-EDIT	R-001	AC-001	CHK-004
APP	SC-TEXTAREA-SCROLL	R-001	AC-001	CHK-004
APP	SC-FORM-VALIDATE	R-001	AC-001	CHK-004
APP	SC-FORM-SUBMIT	R-001	AC-001	CHK-004
