path	revision	parent	before_blob	after_blob	source_read_status
docs/audit/domain-boundary-audit.md	e81ca17b89cadc98c76dab492af85529960e3bdc	596a47064131a34c72bd721ed34966c72904c7bd	ABSENT	3ac2d20ffc7719af92549b4fa982786c8c2dfc38	main_full_blob_plus_all_reverse_deltas_read
docs/audit/interaction-audit.md	e81ca17b89cadc98c76dab492af85529960e3bdc	596a47064131a34c72bd721ed34966c72904c7bd	ABSENT	193c27c8182266a090f7ae534e5f024c59f624ce	main_full_blob_plus_all_reverse_deltas_read
docs/audit/modern-api-audit.md	ba8581318acd8c59d6e311e1e6464a39992a9073	79efbf602a93c24bc9a1a9579e7bc2e4e7d147e1	ABSENT	249c491a4e3017e301801e5744f24fc202fafe23	main_full_blob_plus_all_reverse_deltas_read
docs/audit/performance-audit.md	3bb824b1c57b353402dd171b64f2526c4fafcc1e	885811c96c0948a100bb0baef4281e526a2d7671	ABSENT	c9256f8d2c462b3cb767a5d912082b2bfc9bc641	main_full_blob_plus_all_reverse_deltas_read
docs/audit/performance-audit.md	2615fcf61c8bf19631c898155900a6de1cea979b	3bb824b1c57b353402dd171b64f2526c4fafcc1e	c9256f8d2c462b3cb767a5d912082b2bfc9bc641	9f547dae90bd36cca1040cb5992d912f6b61a1b7	full_parent_patch_read
docs/reviews/slice3-foundations-review.md	2e86bf61d5ab513db3a740130041a153a62877aa	23f4879145cf819b052be4c994dde84279f0e989	ABSENT	6477044a48b39e7c9a0010e2341ddc9d0c01c39f	main_full_blob_plus_all_reverse_deltas_read
docs/reviews/slice3-foundations-review.md	d4715f8e453fa8078a7a51dc73c63931bd53af03	f98c375d6e5c891a97132dc8659722a324f32b1f	6477044a48b39e7c9a0010e2341ddc9d0c01c39f	9d8f986c367e46d72226c063301d0bacdda23234	full_parent_patch_read
docs/reviews/adjudication-k-form-grid.md	0100241f49d2be0b9700bea5bffc8117cd48527a	ba8581318acd8c59d6e311e1e6464a39992a9073	ABSENT	777f82f8cb9bd3bac58e9481551ae360acb9a82f	main_full_blob_plus_all_reverse_deltas_read
docs/reviews/adjudication-k-form-grid.md	d4715f8e453fa8078a7a51dc73c63931bd53af03	f98c375d6e5c891a97132dc8659722a324f32b1f	777f82f8cb9bd3bac58e9481551ae360acb9a82f	478535e9a6b2a13d49383e826a57960d5aee5f6f	full_parent_patch_read
docs/reviews/adjudication-m-small-items.md	fa8adb7bf323b2ad59a480ce32933bc0b9c22a1d	b33f2cd6f71e35c5ed50ed29d5cd9584bddca8e7	ABSENT	43520978713f052cadaf1f249813fe8105642546	main_full_blob_plus_all_reverse_deltas_read
docs/reviews/adjudication-n-layer-measure.md	d7faa2ce05ff42899f6608d5b87b1758c016f27d	d24b3fcae67a4f789594f725e8975e523931a980	ABSENT	dd51778c590073ea34a172420e2669961b4080b3	main_full_blob_plus_all_reverse_deltas_read
