path	status	holla_blob	main_blob	read_pin	lines	sha256	oracle_relation	read_coverage	semantic_disposition	task_map	proof_map
apps/holla/Cargo.toml	A	0000000000000000000000000000000000000000	ab2486701e87263c8a1c000ac8063b306d033136	7b27732a8c3c131760ec3438f641cb3c11343a42	29	55f0cfa3c1e8d9ccb5b7251c0e5287aa3ab2cc8f1f40067348259bd3e4ba5956	main_target_not_oracle	full_1_29	preserve_runtime_lifecycle_pure_draw_restore_15_pages_tabs_event_precedence_and_CLI	TASK-040;TASK-041;TASK-043;TASK-044;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-SHELL,HO-MENUS,HO-QUIT,HO-CLOSE,HO-PICKER,HO-OVERLAY-PASTE,HO-CLI-PREVIEW,HO-RESIZE,HO-PALETTE,HO-LIFECYCLE];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/app.rs	A	0000000000000000000000000000000000000000	32e04966421b95dec10c9c22d809e02f69aea096	7b27732a8c3c131760ec3438f641cb3c11343a42	2168	612e8077aaa67f2426de014954c5a78d3c0ab644198ddecc089d714378072d86	main_target_not_oracle	full_1_2168	preserve_runtime_lifecycle_pure_draw_restore_15_pages_tabs_event_precedence_and_CLI	TASK-040;TASK-041;TASK-043;TASK-044;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-SHELL,HO-MENUS,HO-QUIT,HO-CLOSE,HO-PICKER,HO-OVERLAY-PASTE,HO-CLI-PREVIEW,HO-RESIZE,HO-PALETTE,HO-LIFECYCLE];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/app/historical_tests.rs	A	0000000000000000000000000000000000000000	24d00870735a546eecc1d1ea6420b974c8189463	7b27732a8c3c131760ec3438f641cb3c11343a42	961	9bfa2de9c15a2ae4617448c847c97f0910d16fd9c5b6e0b43c014e0fbc1c4d17	main_target_not_oracle	full_1_961	preserve_architecture_tests_replace_superseded_product_expectations_replay_original_native_assertions_and_full_frames	TASK-003;TASK-040;TASK-041;TASK-042;TASK-043;TASK-044;TASK-045;TASK-046;TASK-047;TASK-048;TASK-049;TASK-050	required:holla-scenarios.tsv[all_135_rows];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/cli.rs	A	0000000000000000000000000000000000000000	548e932825ce7dd6da5fb57ea1a7cdeb4a7ffeea	7b27732a8c3c131760ec3438f641cb3c11343a42	211	2cb762704c6689e77832716c7f5597cea633b3eb889034027bf492923a9795a1	main_target_not_oracle	full_1_211	preserve_runtime_lifecycle_pure_draw_restore_15_pages_tabs_event_precedence_and_CLI	TASK-040;TASK-041;TASK-043;TASK-044;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-SHELL,HO-MENUS,HO-QUIT,HO-CLOSE,HO-PICKER,HO-OVERLAY-PASTE,HO-CLI-PREVIEW,HO-RESIZE,HO-PALETTE,HO-LIFECYCLE];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/clock.rs	A	0000000000000000000000000000000000000000	7c26b0c98e6658406b64fc8b60f82843d5015c89	7b27732a8c3c131760ec3438f641cb3c11343a42	193	a53df1d1390a4120a0eb3ccea0dc67bea7718ca4543093c4738d69672d22795c	main_target_not_oracle	full_1_193	preserve_runtime_lifecycle_pure_draw_restore_15_pages_tabs_event_precedence_and_CLI	TASK-040;TASK-041;TASK-043;TASK-044;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-SHELL,HO-MENUS,HO-QUIT,HO-CLOSE,HO-PICKER,HO-OVERLAY-PASTE,HO-CLI-PREVIEW,HO-RESIZE,HO-PALETTE,HO-LIFECYCLE];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/dispatch.rs	A	0000000000000000000000000000000000000000	42e1b92b3b614396f12d44508e487d531871c29f	7b27732a8c3c131760ec3438f641cb3c11343a42	309	228d70b765d5de7c1ba680b673d9305d5e8ab50b2dded71864196de218d0e01e	main_target_not_oracle	full_1_309	restore_source_world_and_complete_catalog_through_modern_typed_simulation_no_real_process_or_host_filesystem	TASK-040;TASK-041;TASK-042;TASK-043;TASK-044;TASK-045;TASK-046;TASK-047;TASK-048;TASK-049;TASK-050	required:holla-scenarios.tsv[all_135_rows];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/domain/accounting.rs	A	0000000000000000000000000000000000000000	786789e620e5489f2100db3fcb09b44a186e61fe	7b27732a8c3c131760ec3438f641cb3c11343a42	41	307b087ae03d2d80fa64daf4143a6499a729c40acbd53893805d3651f94f542e	main_target_not_oracle	full_1_41	preserve_checked_nonnegative_accounting_at_disk_Docker_debian_and_reviewed_plan_boundaries	TASK-045;TASK-046;TASK-047;TASK-048;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-HP18,HO-HP19,HO-HP20,HO-HP23,HO-DISK-SCAN,HO-DISK-TREE,HO-ROUTE-28,HO-ROUTE-29,HO-ROUTE-33,HO-HP11,HO-HP12,HO-HP21,HO-HP22,HO-HP22-QUIT,HO-CLEANUP-MODES,HO-CLEANUP-SAFETY,HO-CLEANUP-REPORT,HO-HP09,HO-HP10,HO-DOCKER,HO-REMOTE,HO-GATES,HO-ROUTE-01,HO-ROUTE-02,HO-ROUTE-08,HO-ROUTE-09,HO-ROUTE-11,HO-HP01,HO-HP13,HO-HP17,HO-TRUST,HO-UPGRADE,HO-PLAN-EXEC,HO-SNAPSHOTS,HO-MENUS];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/domain/action.rs	A	0000000000000000000000000000000000000000	874c3570c8a7e13d13174f60b1c85fe2b25d7d69	7b27732a8c3c131760ec3438f641cb3c11343a42	249	5e68a51245c944e09a0dfa1aa34ec4df4c3e6ff99ecd53f6b2e45e801859308f	main_target_not_oracle	full_1_249	restore_source_world_and_complete_catalog_through_modern_typed_simulation_no_real_process_or_host_filesystem	TASK-040;TASK-041;TASK-042;TASK-043;TASK-044;TASK-045;TASK-046;TASK-047;TASK-048;TASK-049;TASK-050	required:holla-scenarios.tsv[all_135_rows];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/domain/activity.rs	A	0000000000000000000000000000000000000000	91bb30ae3b6f939894a38ff0a7f06940c1332cb4	7b27732a8c3c131760ec3438f641cb3c11343a42	59	0afb9afdf0780d7e09c794e159601338829cbbe4661a3c71d76edd2eaff596e3	main_target_not_oracle	full_1_59	preserve_stable_activity_owners_TextViewport_restore_exact_stream_stdin_search_cancellation_attach_retry	TASK-044;TASK-047;TASK-048;TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-HP14,HO-HP15,HO-ACTIVITIES,HO-OUTPUT-SCROLL,HO-OUTPUT-FIND,HO-STDIN,HO-CLOSE,HO-QUIT,HO-ROUTE-42,HO-HP05,HO-HP06,HO-HP07,HO-HP08,HO-HP11,HO-HP12,HO-HP09,HO-HP10,HO-DOCKER,HO-REMOTE,HO-GATES,HO-ROUTE-01,HO-ROUTE-02,HO-ROUTE-08,HO-ROUTE-09,HO-ROUTE-11,HO-HP01,HO-HP13,HO-HP17,HO-TRUST,HO-UPGRADE,HO-PLAN-EXEC,HO-SNAPSHOTS,HO-MENUS];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
apps/holla/src/domain/debian.rs	A	0000000000000000000000000000000000000000	1f35e141b2ce0e7aacc6082b8113d8df24799fc1	7b27732a8c3c131760ec3438f641cb3c11343a42	58	9c7ecc5b7f0fde8c4de94bcde13fa81e3764322b88e358e363de1a3371287b01	main_target_not_oracle	full_1_58	restore_exact_custom_command_schema_digest_trust_reload_upgrade_branches_and_plain_snapshot_routes	TASK-049;TASK-050	required:holla-scenarios.tsv[id_in=HO-HP01,HO-HP13,HO-HP17,HO-TRUST,HO-UPGRADE,HO-PLAN-EXEC,HO-SNAPSHOTS,HO-MENUS];full_parent_owner=holla-stage-audit.tsv;prefix_only=holla-stage-contributions.tsv;retained_architecture=branch-diff-holla.md#completed-main-architecture-to-preserve
