path	holla_blob	main_blob	oracle_blob	holla_lines	main_lines	holla_sha256	main_sha256	read_coverage	disposition	task_ids	semantic_evidence
crates/tui/src/collection/empty.rs	0000000000000000000000000000000000000000	df85ba15ab45a6783a08ede20e8493c048260fc1	not_same_path	0	373	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a2bb04812e5f2d1acc9861a8a905f5ebaa482c8e34c549b473e3150671473ae8	main entire1-373;holla absent	preserve inheritance; restore source-qualified shared geometry	TASK-027	owner Family/Variant plus EMPTY family; TITLE/HELP/ICON resolution guards; title at top and one-line detail diverge from oracle centered wrapped block; B-EMPTY-02
crates/tui/src/components/code.rs	0000000000000000000000000000000000000000	50a054b27820e7259889588a00c9a0b2b464dafb	not_same_path	0	2032	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	25e1e6e01eac06c91b069210870af296f73eaf29812fe9399475b2649a6bbf7a	main entire1-2032;holla absent	preserve borrowed callbacks/cache and modern defaults; restore configured oracle trajectories	TASK-025	all2032 incltests; generation/MAX cache; sorted span/diagnostic walk; currentblock fallback; same TextEditorCore; targetfindpaste, rangeindent, navscroll, wheelreveal and footer source gaps already025; immutable draw retained
crates/tui/src/components/completion.rs	0000000000000000000000000000000000000000	43e1ccf13eb6efc31ed7e07bd86647d137d8b7f4	not_same_path	0	957	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	83051b31f6762cfd5b19d61311a9a09a3dc06c5c26322cf4907c082c1196cae2	main entire1-957;holla absent	continue owner/editor typed routing; restore source-qualified popup sizing	TASK-024	all957 lines incl tests; controller request/splice, effective owner bindings, popover and keyed rows; width uses max combined item not independent label/detail maxima; require cross-row width witness
crates/tui/src/components/diff.rs	0000000000000000000000000000000000000000	4c4c30c6e2b40513fc5bb9d3ae84729f9b899db7	not_same_path	0	956	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7229440c40066095b50f81cad2562248a9eedac4cdb1c933f2a140982a8c1e46	main entire1-956;holla absent	continue borrowed revision projection; restore oracle projection semantics	TASK-026	all956 incltests; runtimecache clear/rebuild; sameviewportowner; mainmissingOldNew/padding/fallback/tabexpand; unmatched run reads beyondboundedside into nextkind; W02603 needs exact asymmetricrun test
crates/tui/src/components/empty.rs	0000000000000000000000000000000000000000	515dea3e1d3f33e87c0de194da398a83931b4c5c	not_same_path	0	390	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7ec5e89b6f795ca80b1eb9aecf57fd29b30f6fd9ecb06746b1240a69730d34fb	main entire1-390;holla absent	continue shared ownership; restore oracle geometry	TASK-027	PARTS, whole EMPTY slot, owner patches and guarded help/icon; rows wraps at full width while painter draws one hint row; B-EMPTY-02
crates/tui/src/components/filter_list.rs	0000000000000000000000000000000000000000	bfd339c6ce10f9ae5a78fed89c576baf50d6e32f	not_same_path	0	1077	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7c5dcded42b93fca2de94a17f1c313544c071c4aaa9c224b3f40421177030b91	main entire1-1077;holla absent	continue headless query/projection; restore exact source editor actions	TASK-024	all1077 incltests; caller or labelfilter, keyed reconcile, readiness rail; source graphemebackspace/paste normalize not currentpop/rawappend; no keylessSubmit; actualhoverrow mutation on all phases needs W024 guard
crates/tui/src/components/grid.rs	0000000000000000000000000000000000000000	f41b456b47b370817770e7a0fff5bb50fc02d94b	not_same_path	0	5532	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	677a026d376a49cdfa5b57813e7d83d741c80db2317c3077e69cd7d0f85a8954	main entire1-5532;holla absent	preserve split entrypoints/keyed model/explicit geometry API; restore source-specific action policy	TASK-022	all5532 incltests; ColumnKey partition/collision/cap; ragged nohooks; explicit boundedwidthsample; CompleteWithPreview decor-only body; keyed cursor/draft/reconcile; GridModel vsGridEditor; sourceDataTable/DataGrid gestures distinct; readonly guard remains modern authority
crates/tui/src/components/list.rs	0000000000000000000000000000000000000000	211fba9802a69aec78d3c6ee98f2236429274035	not_same_path	0	1541	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	33de179b6f5949c26cc1cdd5fabe506477f20a421da0c39560e14d140fa6620a	main entire1-1541;holla absent	preserve generic capabilities; restore source action and geometry mappings	TASK-020	all1541 incltests; rowstride/gap/whole-row/customrenderer clipping; leavephysicalboundary; focusedclick transaction; disabledcursor traversable; keyed range/selectall; inheritedempty and chrome slots
crates/tui/src/components/menu.rs	0000000000000000000000000000000000000000	8ff2c0d8c8f7082bbb28a4a68e2e50eb64cdb9eb	not_same_path	0	1666	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fdaf34eecf8c76c925f616776df5838e6dc18a65d5e9f4ec635fd5b444f3d772	main entire1-1666;holla absent	continue runtime/action ownership; restore reverse wrap and source branches	TASK-023	all1666 incl tests; dynamic chords and removed declaration close correct; reverse usize wrap incorrect for3/5 items; title toggles/hover branch and shortcut geometry require oracle proof; B-MENU-03
crates/tui/src/components/nav_list.rs	0000000000000000000000000000000000000000	85bafcfee1a0607aaa15356634be1d9840bbbc59	not_same_path	0	1963	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c3fe38bf5917e499a69caf4afcf691aabf3fb38f1be7f673007ce6a5fb398bc6	main entire1-1963;holla absent	preserve borrowed navigation and exact current identity; continue source-qualified presentation	TASK-020	all1963 incltests; full/collapsed distinct compact; section sentinels; scroll optin; boundaryenabledrows; custom visible row callback; selected actualcurrent notcursor; component chrome versus row parts exact slots; source app sidebar audited by app owners
