source_namespace	source_id	requirement_id	acceptance_id	check_id
APP	SC-BASE-panels	R-001	AC-001	CHK-004
APP	SC-BASE-progress	R-001	AC-001	CHK-004
APP	SC-BASE-scrolling	R-001	AC-001	CHK-004
APP	SC-BASE-terminal	R-001	AC-001	CHK-004
APP	SC-BASE-editor	R-001	AC-001	CHK-004
APP	SC-BASE-diff	R-001	AC-001	CHK-004
APP	SC-BASE-taskrunner	R-001	AC-001	CHK-004
APP	SC-PANEL-SCROLL	R-001	AC-001	CHK-004
APP	SC-PROGRESS-RUN	R-001	AC-001	CHK-004
APP	SC-SCROLL-OWNERS	R-001	AC-001	CHK-004
APP	SC-SCROLL-THUMB	R-001	AC-001	CHK-004
APP	SC-TERMINAL-RUN	R-001	AC-001	CHK-004
APP	SC-TERMINAL-SELECT	R-001	AC-001	CHK-004
APP	SC-EDITOR-EDIT	R-001	AC-001	CHK-004
APP	SC-EDITOR-COMPLETE	R-001	AC-001	CHK-004
APP	SC-EDITOR-RUN	R-001	AC-001	CHK-004
APP	SC-DIFF-MODES	R-001	AC-001	CHK-004
APP	SC-DIFF-SELECT	R-001	AC-001	CHK-004
APP	SC-TASK-RUN	R-001	AC-001	CHK-004
APP	SC-TASK-SCROLL	R-001	AC-001	CHK-004
