source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
HIST	F11	F11	IMPROVEMENTS_PLAN.md;docs/improvements/f11-one-retention-aware-mutation-boundary.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	One retained-output mutation boundary enforces limits and identity	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Viewport retained output	current_main_mapping_required	Append/replace/prune invalidate exactly required state	Viewport retained output	TASK-021;TASK-044;TASK-055	docs/refactoring-plan/historical-obligations.tsv:145	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	One retained-output mutation boundary enforces limits and identity Source disposition: current_done. Exact source: docs/refactoring-plan/historical-obligations.tsv:145.
HIST	F20	F20	IMPROVEMENTS_PLAN.md;docs/improvements/f20-find-in-read-only-output-through-existing-composition.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Read-only output search through existing composed controls	source_Holla_find_preserved_Jackin_extension_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla Files preview and Activity output find; shared text matching and Viewport marks	source_present_Holla_behavior_requires_main_restoration	Restore source Holla Files preview and Activity output query match navigation marks reveal follow and revision behavior; Files ModeFind paste edits outer filename query before preview find, Browse preview-find paste uses trimmed query; no Jackin Inspect snapshot or new cross-app controller search from Deferred F20; preserve separate existing generic CodeEditor find	Exact Holla Files Browse-versus-Find paste recipient and Activity output query match/copy/follow/eviction journeys; shared match-to-source mapping; no invented Jackin search parity	TASK-013;TASK-021;TASK-025;TASK-026;TASK-042;TASK-044;TASK-050	docs/refactoring-plan/historical-obligations.tsv:154	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	Holla Activity output find retains source query navigation marks eviction follow restoration and output nonmutation. Source disposition: source_Holla_find_preserved_Jackin_extension_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:154.
HIST	F23d	F23d	IMPROVEMENTS_PLAN.md;docs/improvements/f23d-input-flood-fairness-v04.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Input floods cannot starve work or advance simulated time incorrectly	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	input flood	current_main_mapping_required	Bounded fairness and deterministic clock assertions	input flood	TASK-009;TASK-010;TASK-044	docs/refactoring-plan/historical-obligations.tsv:160	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	Input floods cannot starve work or advance simulated time incorrectly Source disposition: current_done. Exact source: docs/refactoring-plan/historical-obligations.tsv:160.
HIST	HP02	HP02	IMPROVEMENTS_PLAN.md;docs/improvements/hp02-search-query-editing-and-durable-usage-learning.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Search and remembered choices	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla search/learning	current_main_mapping_required	Port deterministic state; no durable filesystem usage store	Holla search/learning	TASK-041;TASK-044	docs/refactoring-plan/historical-obligations.tsv:166	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	Close all original HP02 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required. Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:166.
HIST	HP03	HP03	IMPROVEMENTS_PLAN.md;docs/improvements/hp03-find-files-and-perform-resource-actions.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Find resources and perform simulated actions	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla file search	current_main_mapping_required	Port routes/selection/actions; no real home index/OS clipboard	Holla file search	TASK-042;TASK-044;TASK-048	docs/refactoring-plan/historical-obligations.tsv:167	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	Close all original HP03 native assertions and every full unmasked parent checkpoint, including later reached surfaces described in holla-stage-audit.tsv; earlier contributions remain required. Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:167.
HIST	HP14	HP14	IMPROVEMENTS_PLAN.md;docs/improvements/hp14-task-execution-output-and-results.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Activity output and truthful results	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla activity	current_main_mapping_required	Port typed outcomes, retained output, status and aggregate state	Holla activity	TASK-044;TASK-047	docs/refactoring-plan/historical-obligations.tsv:178	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	frame-contribution	Retain original capability implementation here, but required full-frame proof is exactly HO-044-F01;HO-044-F04; complete native assertions and every parent frame close TASK-047. This does not weaken the historical clause or close its parent. Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:178.
HIST	HP14	HP14	IMPROVEMENTS_PLAN.md;docs/improvements/hp14-task-execution-output-and-results.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Activity output and truthful results	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla activity	current_main_mapping_required	Port typed outcomes, retained output, status and aggregate state	Holla activity	TASK-044;TASK-047	docs/refactoring-plan/historical-obligations.tsv:178	global semantic anchor; supplemental clauses retained	R-004	AC-004	CHK-001	forbidden	Preserve this HP capability as the immutable simulated oracle only; real providers, persistence, filesystem deletion and full live CLI execution remain outside refactoring. docs/refactoring-plan/historical-obligations.tsv:178. Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:178.
HIST	HP15	HP15	IMPROVEMENTS_PLAN.md;docs/improvements/hp15-runtime-input-cancellation-and-terminal-ownership.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Prompt input/cancellation/terminal ownership UX	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla prompt/cancel	current_main_mapping_required	Port input prompts and cleanup; no child process PTY executor	Holla prompt/cancel	TASK-044	docs/refactoring-plan/historical-obligations.tsv:179	global semantic anchor; supplemental clauses retained	R-001	AC-001	CHK-004	primary	Prompt input/cancellation/terminal ownership UX Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:179.
HIST	HP15	HP15	IMPROVEMENTS_PLAN.md;docs/improvements/hp15-runtime-input-cancellation-and-terminal-ownership.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Prompt input/cancellation/terminal ownership UX	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla prompt/cancel	current_main_mapping_required	Port input prompts and cleanup; no child process PTY executor	Holla prompt/cancel	TASK-044	docs/refactoring-plan/historical-obligations.tsv:179	global semantic anchor; supplemental clauses retained	R-004	AC-004	CHK-001	forbidden	Preserve this HP capability as the immutable simulated oracle only; real providers, persistence, filesystem deletion and full live CLI execution remain outside refactoring. docs/refactoring-plan/historical-obligations.tsv:179. Source disposition: simulation_done_operations_deferred. Exact source: docs/refactoring-plan/historical-obligations.tsv:179.
HIST	O01	O01	docs/improvements-plan-reference.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Real async ownership; generic worker extraction proposal	retired	not established	rejected design ledger	current_main_mapping_required	Keep concrete task ownership/cancellation/stale-result/shutdown obligations	rejected design ledger	TASK-044	docs/refactoring-plan/historical-obligations.tsv:188	global semantic anchor; supplemental clauses retained	R-004	AC-004	CHK-001	forbidden	Real async ownership; generic worker extraction proposal Source disposition: retired. Exact source: docs/refactoring-plan/historical-obligations.tsv:188.
