source_namespace	source_id	id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship	requirement_id	acceptance_id	check_id	role	disposition
HIST	A02	A02	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §3,§5 / J	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection	accepted	18afddd2;11b0d687	runtime;components;apps	retain_and_strengthen_proof	Repeated production draw preserves semantic state and effects including callbacks/interior mutability	draw-purity;Holla independent draw review	TASK-031;TASK-065	docs/refactoring-plan/historical-obligations.tsv:3	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Draw never commits/cancels/validates/navigates/emits effects or changes durable selection Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:3.
HIST	A106	A106	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16	Named test identities and every public component conformance registration cannot disappear or pass zero matches	accepted	7433a2c0;later inventory	xtask;testing	audit_and_complete	Fail on missing roots/subjects/identities/stale allowances	inventory and red mutation tests	TASK-031;TASK-066;TASK-071	docs/refactoring-plan/historical-obligations.tsv:107	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Named test identities and every public component conformance registration cannot disappear or pass zero matches Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:107.
HIST	A107	A107	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §16,§39,§64	Conformance semantic states reached through actual props/data/actions; force only runtime states	accepted_amended	a1759b2a	conformance	audit_and_complete	No tests guarded to hide production failures; real edit/selection	capability sweep	TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:108	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Conformance semantic states reached through actual props/data/actions; force only runtime states Source disposition: accepted_amended. Exact source: docs/refactoring-plan/historical-obligations.tsv:108.
HIST	A40	A40	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §31,§70	Static mono fallback applies once to neutral/custom families after merged state rules before overrides	accepted_supersedes_stored_rules	a1759b2a	theme mono resolver	retain_and_verify	Recipe vectors unchanged; hue-independent visible signals	mono conformance;theme allocation	TASK-011;TASK-031	docs/refactoring-plan/historical-obligations.tsv:41	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Static mono fallback applies once to neutral/custom families after merged state rules before overrides Source disposition: accepted_supersedes_stored_rules. Exact source: docs/refactoring-plan/historical-obligations.tsv:41.
HIST	A41	A41	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §28,§38	Readiness declares real reachable busy/error affordances; narrowing reason text cannot substitute proof	accepted_amended	0f66160e;a1759b2a	components;conformance	retain_and_strengthen_proof	Drive semantic state before runtime forcing; inspect glyph/modifier	readiness capability matrix	TASK-011;TASK-031	docs/refactoring-plan/historical-obligations.tsv:42	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Readiness declares real reachable busy/error affordances; narrowing reason text cannot substitute proof Source disposition: accepted_amended. Exact source: docs/refactoring-plan/historical-obligations.tsv:42.
HIST	A43	A43	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise	accepted	a1759b2a	components;conformance;StyledQuery	proof_gap	Record attribution and no missing conditional paints	parts sweep;visible sentinels	TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:44	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:44.
HIST	A44	A44	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33,§50	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins	accepted	a1759b2a;consolidation rejection	rowui;ColumnsUi;collections	remaining_work	Repair actual part forwarding and independent style isolation	item_row_columns;explicit_columns_styles_win	TASK-015;TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:45	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:45.
HIST	A45	A45	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72	Ui::reference sole inert exact-target boundary; only focused/focus-visible/hovered/pressed may be forced	accepted_supersedes_local_forcing	a1759b2a	ui;components;testing	retain_and_verify	No component state_override/inherit_forced; semantic states caller-owned	reference API absence;conformance	TASK-010;TASK-031	docs/refactoring-plan/historical-obligations.tsv:46	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Ui::reference sole inert exact-target boundary; only focused/focus-visible/hovered/pressed may be forced Source disposition: accepted_supersedes_local_forcing. Exact source: docs/refactoring-plan/historical-obligations.tsv:46.
HIST	A46	A46	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72,§73	Inert/reference suppression centrally covers all registrations, bindings, cursor, layout, scopes and callbacks	accepted	7763d50;54b15ce	ui	retain_and_verify	Malicious callbacks and nested target restoration; background paints retained	reference sink;external author	TASK-010;TASK-031	docs/refactoring-plan/historical-obligations.tsv:47	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Inert/reference suppression centrally covers all registrations, bindings, cursor, layout, scopes and callbacks Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:47.
HIST	A73	A73	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §69	Conformance reveals offscreen stable item before identity click or fails; no empty reveal success	accepted	a1759b2a	tui-testing conformance	retain_and_verify	Reorder target out of viewport; click exact key	case12 reveal	TASK-031	docs/refactoring-plan/historical-obligations.tsv:74	global semantic anchor; supplemental clauses retained	R-002	AC-002	CHK-006	primary	Conformance reveals offscreen stable item before identity click or fails; no empty reveal success Source disposition: accepted. Exact source: docs/refactoring-plan/historical-obligations.tsv:74.
