parent_scenario	previous_primary	complete_primary	required_application_producers	flow_audit	source_clause	preserved_parent_contract
TP-001	TASK-058	TASK-058	TASK-058	Preset C; launch;cp(initial);--help subprocess;--color bad subprocess;--connect missing subprocess | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/main.rs:24;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:918	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-002	TASK-058	TASK-058	TASK-058	Preset C; Down*8;cp(production);Home;End;Up;Tab;BackTab;cp(traversal) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:440	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-003	TASK-058	TASK-058	TASK-058	Preset C; /;type(Production);cp(filtered);Esc;cp(cancelled);/;type(zzzz_no_match);cp(empty);Esc;Down;cp(restored) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:440,327	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-004	TASK-058	TASK-058	TASK-058	Preset C; hover(Local PostgreSQL);cp(hover);Down;cp(keyboard_suppresses_hover);hover(Connect);down;cp(pressed);up;cp(connecting) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:211,1867;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:738	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-005	TASK-058	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset C; Down*8;Enter;cp(t0);ticks(3);cp(t3);ticks(4);cp(t7);ticks(4);cp(t11);ticks(1);cp(connected) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-006	TASK-058	TASK-058	TASK-058	Preset C; /;type(Staging);Enter;Down;Enter;ticks(12);cp(auth_failed);click(Reconnect);cp(retry);ticks(12);cp(failed_again) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384,509	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-007	TASK-058	TASK-058	TASK-058	Preset C; /;type(Analytics);Enter;Down;Enter;ticks(12);cp(unreachable);click(Reconnect);ticks(12);cp(retry_failed) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:148	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-008	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;cp(new_basic);Ctrl+S;cp(invalid);focus(Port);replace(65536);Ctrl+S;cp(invalid_port);focus(Port);replace(0);Ctrl+S;cp(zero_port) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:89,246,573	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-009	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(Name);replace(Parity fixture);select(Engine,MySQL);cp(mysql_port);select(Engine,SQLite);cp(sqlite_port);select(Engine,PostgreSQL);select(Group,Acme);focus(Environment);End;Space;focus(Safe Mode);End;Space;cp(choices) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:108,573	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-010	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(Password);Enter;paste(päss秘密);cp(password_field);Esc;focus(Prompt for password);Space;cp(prompt_toggle) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:108,860	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
