# shots stems @ e741cde7a1a111a123acf426e62e67916727600e files=6547 unique=1205
# snapshots scenarios=792
# counts MAP=674 DROP=531 MISSING=0 UNMAPPED=0
shots/audit-flows/README.md	DROP harness sidecar
shots/audit-flows/diff_drag_120x40_no_color	MAP showcase/flows/diff/drag-selected/120x40/nocolor
shots/audit-flows/diff_drag_120x40_none	MAP showcase/flows/diff/drag-selected/120x40/none
shots/audit-flows/diff_drag_120x40_truecolor	MAP showcase/flows/diff/drag-selected/120x40/truecolor
shots/audit-flows/diff_drag_160x50_no_color	MAP showcase/flows/diff/drag-selected/160x50/nocolor
shots/audit-flows/diff_drag_160x50_none	MAP showcase/flows/diff/drag-selected/160x50/none
shots/audit-flows/diff_drag_160x50_truecolor	MAP showcase/flows/diff/drag-selected/160x50/truecolor
shots/audit-flows/diff_drag_80x24_no_color	MAP showcase/flows/diff/drag-selected/80x24/nocolor
shots/audit-flows/diff_drag_80x24_none	MAP showcase/flows/diff/drag-selected/80x24/none
shots/audit-flows/diff_drag_80x24_truecolor	MAP showcase/flows/diff/drag-selected/80x24/truecolor
shots/audit-flows/diff_empty_120x40_no_color	MAP showcase/flows/diff/empty/120x40/nocolor
shots/audit-flows/diff_empty_120x40_none	MAP showcase/flows/diff/empty/120x40/none
shots/audit-flows/diff_empty_120x40_truecolor	MAP showcase/flows/diff/empty/120x40/truecolor
shots/audit-flows/diff_empty_160x50_no_color	MAP showcase/flows/diff/empty/160x50/nocolor
shots/audit-flows/diff_empty_160x50_none	MAP showcase/flows/diff/empty/160x50/none
shots/audit-flows/diff_empty_160x50_truecolor	MAP showcase/flows/diff/empty/160x50/truecolor
shots/audit-flows/diff_empty_80x24_no_color	MAP showcase/flows/diff/empty/80x24/nocolor
shots/audit-flows/diff_empty_80x24_none	MAP showcase/flows/diff/empty/80x24/none
shots/audit-flows/diff_empty_80x24_truecolor	MAP showcase/flows/diff/empty/80x24/truecolor
shots/audit-flows/diff_review_120x40_no_color	MAP showcase/flows/diff/review/120x40/nocolor
shots/audit-flows/diff_review_120x40_none	MAP showcase/flows/diff/review/120x40/none
shots/audit-flows/diff_review_120x40_truecolor	MAP showcase/flows/diff/review/120x40/truecolor
shots/audit-flows/diff_review_160x50_no_color	MAP showcase/flows/diff/review/160x50/nocolor
shots/audit-flows/diff_review_160x50_none	MAP showcase/flows/diff/review/160x50/none
shots/audit-flows/diff_review_160x50_truecolor	MAP showcase/flows/diff/review/160x50/truecolor
