parent_scenario	contribution_id	task_owner	checkpoint	state_keys	source_clause	exact_assertions	required_for_closure	fixture
JA-022	JFLOW-C52-022	TASK-052	For the reference branch, checkpoints through the first Op-picker request only; for edit/scope/delete/undo/invalid/duplicate/fold branches, every original action checkpoint.	route;config_scope;selected_env_key;env_source_kind;env_draft;pending_changes;removed_env_keys;folded_role_keys;modal_request;parent_focus	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/config.rs:1201,1737,2159	Replay all config actions, including reference-picker request. Exact scope move, delete/undo restoration, invalid/duplicate errors and role folding match oracle; opening reference requests the same picker with the same parent draft and focus. Picker contents/retry are not claimed here.	true	intact-parent
JA-028	JFLOW-C52-028	TASK-052	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;agent_auth_modes;agent_defaults;selected_account_handoff;trust_source_enabled;trust_open_result;settings_pending;save_preview_changes	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/settings.rs:705-778	Auth/default changes, exact selected-account handoff request, trust toggle/open result and pending preview list match oracle. Accounts painting remains TASK-053; its full frames still execute diagnostically.	true	intact-parent
JA-011	JFLOW-C53-011	TASK-053	Every picker action checkpoint through cancellation or the single emitted launch request; no later Cockpit stage observation is required here.	eligible_agent_ids;eligible_account_ids;preferred_account_id;picker_stack;manager_selected_key;launch_request;cancelled	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1110;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/domain/workspace.rs	Account eligibility/default/preference determines exactly the offered identities. Cancellation preserves selection and emits no launch; a chosen valid agent/account emits the oracle launch request once. Cockpit paint closes with TASK-054.	true	intact-parent
JA-040	JFLOW-C54-040	TASK-054	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;launch_stage;stage_frontier;stage_statuses;resolved_account_ids;launch_job_state;handoff_tick;created_instance_id;created_daemon_topology	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:10,241;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:179	All eleven stages, cached/skipped state, exact transitions and produced instance/account/topology agree with oracle. Capsule arrival route/effect is checked as semantic output; Capsule cells/input remain TASK-055.	true	intact-parent
JA-043	JFLOW-C54-043	TASK-054	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	launch_plan;launch_stage;held_reason;credential_resolution;retry_count;blocked_sidecar_status;launch_request;cancelled	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:79,413;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:641	CredentialsLocked hold/retry and BlockedSidecar status/dismissal agree exactly, with no invented CLI reachability. Completion produces the same transition/effects; later Capsule rendering remains TASK-055.	true	intact-parent
JA-044	JFLOW-C54-044	TASK-054	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;launch_job_state;cancelled;detached;quit_requested;confirmation_open;entry_claim;running_instance_ids	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:575	Ctrl-C/Ctrl-Q/cancel/confirm/detach exactly preserve or stop the launch job and entry claim; no late completion after cancellation. Any eventually reached Capsule frame remains TASK-055.	true	intact-parent
JA-045	JFLOW-C54-045	TASK-054	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;effective_account_ids;resolved_auth_source_ids;per_account_errors;created_instance_id;instance_account_ids	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1201	Resolve every effective account, preserve preferred/auth-source identity and exact per-account errors; final instance contains the oracle account identities. Final Capsule assertion is retained at TASK-055.	true	intact-parent
JA-056	JFLOW-C55-056	TASK-055	Every pane/tab target, confirmation, cancel and nonfinal-close checkpoint; for last close, the emitted final-exit request before dirty-exit policy resolution.	target_pane_id;target_tab_id;pane_tree;tab_ids;active_pane_id;active_tab_id;close_confirmation;final_exit_request	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1050,1258;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/pty.rs:1525	Pane versus tab targeting, cancellation and accepted nonfinal close preserve exact topology/focus. Last-close emits the oracle final-exit request; dirty policy and final transcript remain TASK-056.	true	intact-parent
JA-058	JFLOW-C55-058	TASK-055	Every source assertion/input checkpoint from initial Capsule through detach Manager and reconnect Capsule, strictly before the first Ctrl-Q.	route;daemon_tab_ids;daemon_pane_tree;selected_instance_id;attached_client;detached;running_instance_ids	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:219,251	Detach retains exact daemon tabs/panes, reconnect selects the same instance and restores attachment/topology. The original Ctrl-Q dirty exit and all outro assertions remain TASK-056.	true	intact-parent
TP-005	TFLOW-C58-005	TASK-058	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	selected_connection_id;connection_stage;connection_progress;connection_error;connection_result_id;route;workbench_connection_id	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125	All intermediate connection stages match; tick12 produces Workbench with the same saved connection identity. cp(connected) remains a complete TASK-061 requirement.	true	intact-parent
