parent_scenario	contribution_id	task_owner	checkpoint	state_keys	source_clause	exact_assertions	required_for_closure	fixture
TP-027	TFLOW-C60-027	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	Row/column cursor, scroll offsets, sticky headers, scrollbar, fades and no overscroll. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-028	TFLOW-C60-028	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1138,1163;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1240	Mouse wheel axis and thumb hit regions preserve cursor/selection. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-029	TFLOW-C60-029	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995,1065,1124	Multi-row/range selected tones, copy character status and Esc clearing. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-030	TFLOW-C60-030	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:193;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	Stable row data reorder, header markers and exact statuses. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-031	TFLOW-C60-031	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing; restart the same accepted post-preset-T seed for each separate fresh-T click/notes variant; every added source checkpoint is included	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:930;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Short currency cell edit snapshot/cancel, UTF-8 cursor and dirty bytes; Tab/BackTab exact source next-cell/focus behavior; explicit current/different/repeated completed-click outcomes; original long notes behavior retained in TP-037. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-032	TFLOW-C60-032	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530,1085;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388	Read-only/key treatment and type/nullability feedback exactly oracle. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-033	TFLOW-C60-033	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:659,724,1122	Default/auto cells, counts, stable row identity and undo sequence. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-037	TFLOW-C60-037	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing; restart the same accepted post-preset-T seed for each separate fresh-T click/notes variant; every added source checkpoint is included	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:385,2485;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Reference table filtered by id; formatted JSON/code viewer and scrolling; long notes actual click/Enter branch preserved: at120x40 registered partial hit is unroutable and click inert then Enter opens viewer; each other size freezes its exact locate/clip outcome; notes paste never invents inline pending edits. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T; post-Ctrl+O/events/Enter (separate JSON-viewer suffix fixture)
TP-038	TFLOW-C60-038	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:799;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1049	Demo cap message, loading clears, no phantom rows or loop. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-039	TFLOW-C60-039	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;filter_editor_drafts;filter_editor_editing;filter_preview_sql	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1372,1657,1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	Column default from cursor, update identity, cancellation and rows; field Tab commits without applying, button Add/Cancel/Update executes while Filter is still open; field Enter applies immediately as separately retained TP-040 source branch. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
