parent_scenario	contribution_id	task_owner	exact_checkpoint_selection	axes	viewports	source_clause	required_artifact	required_for_closure	fixture
TP-027	TFLOW-F60-027	TASK-060	Exactly every occurrence of cp(middle), cp(bottom_right), cp(clamped), cp(top_left), cp(column_edges), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-028	TFLOW-F60-028	TASK-060	Exactly every occurrence of cp(header_hover), cp(vscroll), cp(hscroll), cp(bottom), cp(right), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:1138,1163;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1240	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-029	TFLOW-F60-029	TASK-060	Exactly every occurrence of cp(selected), cp(range), cp(copy), cp(copy_headers), cp(cleared), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:995,1065,1124	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-030	TFLOW-F60-030	TASK-060	Exactly every occurrence of cp(ascending), cp(descending), cp(cleared), cp(mouse_sorted), cp(clear_sort), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:193;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-031	TFLOW-F60-031	TASK-060	Exactly every occurrence of cp(editing), cp(draft), cp(cancelled), cp(committed_next), cp(previous_source_focus), cp(current_cell_click_edit), cp(different_cell_click_move), cp(repeated_cell_click_edit), after the separately qualified direct seed; restart the accepted post-preset-T seed for the separate click variant; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:930;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-032	TFLOW-F60-032	TASK-060	Exactly every occurrence of cp(primary_key), cp(invalid_number), cp(null_request), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530,1085;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-033	TFLOW-F60-033	TASK-060	Exactly every occurrence of cp(inserted), cp(duplicated), cp(deleted), cp(undo_delete), cp(undo_duplicate), cp(undo_insert), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:659,724,1122	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-037	TFLOW-F60-037	TASK-060	Exactly every occurrence of cp(reference_target), cp(json_viewer), cp(viewer_scroll), cp(focus_restored), cp(notes_keyboard_selected), cp(notes_actual_click), cp(notes_actual_enter), cp(notes_paste_no_mutation), after its separately qualified direct seed; restart accepted post-preset-T for the notes variant; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:385,2485;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T; post-Ctrl+O/events/Enter (separate JSON-viewer suffix fixture)
TP-038	TFLOW-F60-038	TASK-060	Exactly every occurrence of cp(fetch_row), cp(fetch_status), cp(bottom_boundary), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:799;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1049	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-039	TFLOW-F60-039	TASK-060	Exactly every occurrence of cp(filter), cp(chip), cp(edit), cp(original), cp(updated), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1372,1657,1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	complete schema3 frame and cursor; no cell masks	true	post-preset-T
